index,axis-0,axis-1
0.0,947.0686855398856,1011.8526302955534
1.0,879.5279689548045,1018.7445401511739
2.0,798.2034326584824,999.4471925554365
3.0,857.9110414020706,941.3871451013505
4.0,941.5551576553892,930.5280939992314
5.0,1003.5823463559736,922.2578021724868
6.0,937.4200117420169,860.2306134719021
7.0,867.1225312146876,862.9873774141503
8.0,792.6899047739859,839.5548839050405
9.0,747.0687100677013,935.6044378984759
10.0,734.7978619867736,1014.6093942378017
11.0,606.6083386722319,1015.9877762089257
12.0,646.5814158348309,956.7173514505891
13.0,678.2842011706853,898.1867050035675
14.0,714.122132419912,860.9703917832165
15.0,607.986720643356,851.9603216451574
16.0,561.1217336251365,920.8794202013626
17.0,532.1757122315304,978.7714629885751
18.0,488.06748915555903,927.7713300569832
19.0,490.82425309780723,820.257536309303
20.0,415.0132446859816,874.0144331831431
21.0,409.4997168014852,951.2038235660928
22.0,296.4723951693087,964.9876432773339
23.0,332.3103264185354,1013.2310122666776
24.0,231.6884425264758,991.176900728692
25.0,246.85064420884095,890.5550168366323
26.0,158.6341980568983,868.5009052986467
27.0,154.499052143526,958.0957334217134
28.0,86.95833555844493,984.2849908730715
29.0,55.25555022259057,969.1227891907062
30.0,82.82318964507266,898.8253086633771
31.0,20.796000944487975,902.9604545767494
32.0,95.22862738518955,803.7169526558138
33.0,29.066292771232625,787.1763690023246
34.0,125.55303074991986,726.527562272864
35.0,202.74242113286965,690.6896310236374
36.0,184.8234555082563,794.0682788579451
37.0,273.0399016601989,776.1493132333318
38.0,271.6615196890748,708.6085966482507
39.0,311.6345968516738,620.3921504963081
40.0,275.79666823150205,565.256871651344
41.0,359.87796584101744,574.9055454492125
42.0,186.2018374793804,616.2570045829358
43.0,193.09374733500093,555.6081978534752
44.0,132.44494060554035,568.0136355935922
45.0,96.60701198536864,654.8516997744106
46.0,82.82319227412762,537.6892322288619
47.0,19.552211261607965,628.1918433301165
48.0,171.03963842607027,450.8511680480434
49.0,129.68817929234714,379.17530554958995
50.0,31.823059342535807,421.9051466544372
51.0,81.44480767394856,284.06694954202675
52.0,13.904091088867476,281.3101855997786
53.0,91.09348410087226,206.877559159077
54.0,12.525711746798347,209.6343231013252
55.0,67.66099059176248,139.33684257399602
56.0,78.68804636075531,53.877160364301574
57.0,19.417621602418862,19.417611086198974
58.0,9.76894780455014,129.6881687761272
59.0,183.44507616618716,213.76946901469762
60.0,215.14786150204154,153.12066228523702
61.0,180.688309594884,78.68803584453542
62.0,187.58021945050453,18.039229115074875
63.0,253.74255406446147,20.795993057323074
64.0,230.31006055535173,82.82318175790772
65.0,299.2291591115569,74.55288993116312
66.0,352.85146895526276,36.52996838412906
67.0,438.14314649808364,82.95777141709681
68.0,496.33778361135865,44.22848656643282
69.0,534.9324788028335,117.28273103601032
70.0,501.8513088668001,186.20182959221552
71.0,441.20250213733954,193.09373944783601
72.0,379.1753134367549,206.87755915907712
73.0,270.28314034700566,224.79652478369042
74.0,266.14799443363336,300.6075331955161
75.0,326.7968011630939,297.8507692532679
76.0,180.68831222393896,358.4995759827284
77.0,148.9855268880846,310.2562069933848
78.0,245.47226486677184,415.0132367988167
79.0,326.7968011630939,373.6617776650936
80.0,375.04017015243755,427.4186745389336
81.0,428.79706702627755,381.9320694918382
82.0,417.2659972566641,291.09344905683645
83.0,484.80671384174514,263.8618189681016
84.0,552.8514444274468,262.0128380040412
85.0,507.36483938035144,332.3103185313705
86.0,588.6893756766735,199.9856493034565
87.0,605.2299593301628,84.20156372903188
88.0,585.9326117344253,24.93113897069543
89.0,1011.8526408117734,809.2304805403103
90.0,964.3824651414285,758.0957579495295
91.0,887.798263410604,787.1763690023245
92.0,900.2037011507209,719.6356524172434
93.0,922.2578126887066,632.797588236425
94.0,987.3777746652866,681.6795608855783
95.0,988.4201473026635,607.9867127561912
96.0,832.3603902395772,577.0571207393357
97.0,838.815116109946,666.7865385215915
98.0,787.1763795185444,622.4091361272418
99.0,791.3115254319167,743.0681459263534
100.0,719.4676556375349,786.7391850170728
101.0,713.0463447748505,712.7771575693076
102.0,585.9326117344253,766.5006394354631
103.0,606.6083413012869,682.4193391968928
104.0,477.7863251418647,743.7384375316883
105.0,498.163026652706,680.9653597048601
106.0,410.8781014016642,652.0949358321624
107.0,396.48909303829794,767.9124364142716
108.0,463.25661630438015,592.824511073826
109.0,427.41868505515345,512.878356748628
110.0,343.33738481658315,499.094537037387
111.0,271.6615223181298,482.5539533838978
112.0,530.7973328894612,630.0408242941767
113.0,540.6316384619873,563.5622432577795
114.0,545.2514442060373,506.95576655436264
115.0,494.95940164023455,466.0133697304085
116.0,573.5271739943084,423.28352862556125
117.0,634.175980723769,534.9324682866137
118.0,712.7437530778429,541.8243781422342
119.0,700.3383153377259,606.6083307850671
120.0,638.3111266371413,625.9056783808045
121.0,765.1222679805588,505.9864468930075
122.0,828.5278386522676,501.85130097963514
123.0,934.6632504288235,514.256738719752
124.0,999.4472030716563,517.0135026620002
125.0,942.9335422555682,441.2024942501747
126.0,887.798263410604,405.364563000948
127.0,816.1224009121506,412.2564728565685
128.0,737.5546285580767,388.8239793474587
129.0,697.5815513954777,443.9592581924229
130.0,643.8246545216377,446.716022134671
131.0,652.0949463483823,343.3373743003632
132.0,590.0677576477977,352.9860480982319
133.0,705.8518432222224,304.7426791088883
134.0,681.0409677419885,208.25594113020122
135.0,672.7706759152439,60.76907021992213
136.0,726.5275727890839,81.44479978678368
137.0,725.1491908179598,9.768937288330278
138.0,660.3652381751269,4.25540940383388
139.0,798.3714399544109,31.48703949256884
140.0,847.825186248005,103.49891132476932
141.0,887.798263410604,113.14758512263796
142.0,953.960598024561,70.41774401779082
143.0,892.2025886423546,26.444110601008617
144.0,995.3120571582842,9.768937288330278
145.0,985.6633833604153,148.98551637186466
146.0,927.771340573203,184.82344762109142
147.0,900.203701150721,230.31005266818676
148.0,962.2308898513056,252.36416420617252
149.0,999.4472030716565,297.8507692532679
150.0,1010.4742588406493,226.17490675481451
151.0,942.9335422555682,307.4994430511366
152.0,853.3387141325014,335.0670824736187
153.0,796.8250533164132,317.1481168490054
154.0,774.7709417784275,239.95872646605562
155.0,829.9062206233917,260.63445603291706
156.0,770.6357958650552,150.36389834298876
157.0,956.7173619668092,376.41854160734175
158.0,1014.1666932239559,415.5992392254345
159.0,152.72882885810807,1023.419363022098
160.0,697.0997083474673,136.91621331385815
161.0,11.279874187623113,693.1483187932561
